TA_ID,TAMBON_T,TAMBON_E,AM_ID,LAT,LONG
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.546,99.706
210114,ต. มาบตาพุด,Maptaphut,2101,12.646,101.171
210114,ต. มาบตาพุด,Maptaphut,2101,12.645,101.17
210114,ต. มาบตาพุด,Maptaphut,2101,12.649,101.174
210114,ต. มาบตาพุด,Maptaphut,2101,12.644,101.169
860116,ต. หาดทรายรี,Hat Sai Ri,8601,10.459,99.403
860706,ต. ด่านสวี,Dan Sawi,8607,10.291,99.241
440103,ต. ท่าตูม,Tha Tum,4401,16.162,103.484
840401,ต. อ่างทอง,Ang Thong,8404,9.708,99.675
840401,ต. อ่างทอง,Ang Thong,8404,9.796,99.713
840401,ต. อ่างทอง,Ang Thong,8404,9.677,99.659
200901,ต. สัตหีบ,Sattahip,2009,12.611,100.889
921003,ต. ตะเสะ,Tase,9210,7.033,99.449
860116,ต. หาดทรายรี,Hat Sai Ri,8601,10.477,99.369
860306,ต. ปากคลอง,Pak Khlong,8603,10.862,99.486
860801,ต. ปากตะโก,Pak Tako,8608,10.165,99.176
860306,ต. ปากคลอง,Pak Khlong,8603,10.8,99.538
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.672,99.844
840401,ต. อ่างทอง,Ang Thong,8404,9.767,99.668
860116,ต. หาดทรายรี,Hat Sai Ri,8601,10.466,99.359
860801,ต. ปากตะโก,Pak Tako,8608,10.131,99.165
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.705,99.799
921003,ต. ตะเสะ,Tase,9210,6.984,99.473
860706,ต. ด่านสวี,Dan Sawi,8607,10.197,99.221
860801,ต. ปากตะโก,Pak Tako,8608,10.118,99.216
921003,ต. ตะเสะ,Tase,9210,7.067,99.398
860306,ต. ปากคลอง,Pak Khlong,8603,10.782,99.53
220607,ต. บางกะไชย,Bang Kachai,2206,12.465,102.066
921003,ต. ตะเสะ,Tase,9210,7.016,99.445
860306,ต. ปากคลอง,Pak Khlong,8603,10.84,99.497
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.71,99.794
840401,ต. อ่างทอง,Ang Thong,8404,9.707,99.676
820603,ต. เกาะพระทอง,Ko Phra Thong,8206,9.406,97.901
200905,ต. แสมสาร,Samae San,2009,12.616,100.918
921003,ต. ตะเสะ,Tase,9210,7.075,99.451
230601,ต. เกาะหมาก,Ko Mak,2306,11.817,102.397
840401,ต. อ่างทอง,Ang Thong,8404,9.551,99.694
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.582,99.719
820603,ต. เกาะพระทอง,Ko Phra Thong,8206,9.495,97.874
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.551,99.35
230601,ต. เกาะหมาก,Ko Mak,2306,11.805,102.376
230601,ต. เกาะหมาก,Ko Mak,2306,11.857,102.525
840401,ต. อ่างทอง,Ang Thong,8404,9.681,99.677
850502,ต. กำพวน,Kamphuan,8505,9.401,98.392
920222,ต. เกาะนก,Ko Nok,9202,7.272,99.475
840301,ต. ดอนสัก,Don Sak,8403,9.31,99.66
860706,ต. ด่านสวี,Dan Sawi,8607,10.247,99.249
840401,ต. อ่างทอง,Ang Thong,8404,9.699,99.68
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.675,99.833
840401,ต. อ่างทอง,Ang Thong,8404,9.709,99.676
230601,ต. เกาะหมาก,Ko Mak,2306,11.815,102.398
230601,ต. เกาะหมาก,Ko Mak,2306,11.819,102.402
840401,ต. อ่างทอง,Ang Thong,8404,9.696,99.662
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.542,99.164
230601,ต. เกาะหมาก,Ko Mak,2306,11.858,102.523
920213,ต. เกาะลิบง,Ko Libong,9202,7.303,99.394
830103,ต. เกาะแก้ว,Ko Kaeo,8301,7.924,98.455
860706,ต. ด่านสวี,Dan Sawi,8607,10.222,99.243
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.524,99.269
840401,ต. อ่างทอง,Ang Thong,8404,9.706,99.675
840401,ต. อ่างทอง,Ang Thong,8404,9.661,99.659
820603,ต. เกาะพระทอง,Ko Phra Thong,8206,9.472,97.876
860116,ต. หาดทรายรี,Hat Sai Ri,8601,10.486,99.418
850502,ต. กำพวน,Kamphuan,8505,9.5,98.374
230601,ต. เกาะหมาก,Ko Mak,2306,11.808,102.378
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.515,99.174
860116,ต. หาดทรายรี,Hat Sai Ri,8601,10.506,99.425
920504,ต. ไม้ฝาด,Mai Fat,9205,7.47,99.32
200701,ต. ศรีราชา,Si Racha,2007,13.174,100.92
840401,ต. อ่างทอง,Ang Thong,8404,9.681,99.667
860116,ต. หาดทรายรี,Hat Sai Ri,8601,10.349,99.295
810106,ต. เขาทอง,Khao Thong,8101,8.049,98.676
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.485,99.366
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.655,99.876
840401,ต. อ่างทอง,Ang Thong,8404,9.676,99.664
860706,ต. ด่านสวี,Dan Sawi,8607,10.208,99.249
840301,ต. ดอนสัก,Don Sak,8403,9.351,99.72
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.704,99.871
860102,ต. ปากน้ำ,Pak Nam,8601,10.448,99.253
921003,ต. ตะเสะ,Tase,9210,7.144,99.639
230601,ต. เกาะหมาก,Ko Mak,2306,11.81,102.376
860801,ต. ปากตะโก,Pak Tako,8608,10.132,99.163
840401,ต. อ่างทอง,Ang Thong,8404,9.702,99.664
860706,ต. ด่านสวี,Dan Sawi,8607,10.296,99.247
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.514,99.173
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.504,99.182
840401,ต. อ่างทอง,Ang Thong,8404,9.664,99.677
830108,ต. กะรน,Karon,8301,7.821,98.285
840401,ต. อ่างทอง,Ang Thong,8404,9.687,99.675
921003,ต. ตะเสะ,Tase,9210,7.144,99.631
210114,ต. มาบตาพุด,Maptaphut,2101,12.648,101.17
860306,ต. ปากคลอง,Pak Khlong,8603,10.865,99.489
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.508,99.173
920221,ต. เกาะลูกไม้,Ko Lookmai,9202,7.291,99.45
920501,ต. บ่อหิน,Bo Hin,9205,7.549,99.283
840401,ต. อ่างทอง,Ang Thong,8404,9.77,99.668
840401,ต. อ่างทอง,Ang Thong,8404,9.521,99.711
840401,ต. อ่างทอง,Ang Thong,8404,9.8,99.713
860116,ต. หาดทรายรี,Hat Sai Ri,8601,10.426,99.316
840401,ต. อ่างทอง,Ang Thong,8404,9.603,99.715
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.499,99.318
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.652,99.692
200901,ต. สัตหีบ,Sattahip,2009,12.646,100.897
810505,ต. อ่าวลึกน้อย,Ao Luek Noi,8105,8.211,98.687
850502,ต. กำพวน,Kamphuan,8505,9.5,98.368
840301,ต. ดอนสัก,Don Sak,8403,9.315,99.66
860706,ต. ด่านสวี,Dan Sawi,8607,10.257,99.227
840401,ต. อ่างทอง,Ang Thong,8404,9.672,99.681
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.514,99.262
860706,ต. ด่านสวี,Dan Sawi,8607,10.2,99.249
840401,ต. อ่างทอง,Ang Thong,8404,9.542,99.673
810505,ต. อ่าวลึกน้อย,Ao Luek Noi,8105,8.208,98.691
860801,ต. ปากตะโก,Pak Tako,8608,10.151,99.204
810505,ต. อ่าวลึกน้อย,Ao Luek Noi,8105,8.302,98.698
850109,ต. เกาะพยาม,Ko Phayam,8501,9.877,98.442
810505,ต. อ่าวลึกน้อย,Ao Luek Noi,8105,8.204,98.69
840401,ต. อ่างทอง,Ang Thong,8404,9.671,99.678
850105,ต. ปากน้ำ,Pak Nam,8501,9.914,98.526
